metric,value
Total impressions,50000
Total converted,3586
"Overall conversion rate, %",7.172000000000001
"Average premium (paid only), RUB",21579.291726157277
"Total GWP (Gross Written Premium), RUB",77383340.13
"Share of online purchases, %",56.35805911879531
Top drop reason,Не заинтересовал заголовок
